Hour,Diesel,Sim_Load
564,,2579.57843592273
565,,2507.9642069631454
566,,2524.0564242352066
567,,2606.6056370015435
568,,2742.1739229078817
569,,2800.657182298901
570,,2785.53369395266
571,,2648.292920293589
572,,2569.6024115855294
573,,2501.2724519265093
574,,2416.0638401792276
575,,2300.5109949442217
576,,2181.303332465512
577,,2085.5131731977217
578,,2027.829272379415
579,,1990.8097403200711
580,,1968.0400548842333
581,,1988.0936021751763
582,,2023.1672932893134
583,,2119.3691366072962
584,,2198.870519984824
585,,2277.292238105988
586,,2358.731846387875
587,,2485.999340591189
588,,2498.0428373900795
589,,2441.1536152949325
590,,2483.9718083292305
591,,2548.7333823606627
592,,2680.570410735061
593,,2756.739893080458
594,,2709.326972979036
595,,2616.6047515051055
596,,2550.919519239861
597,,2495.696327316439
598,,2417.9029238542525
599,,2294.844330573973
600,,2174.748791029013
601,,2099.2566864597766
602,,2049.1048576223848
603,,2002.2180322951945
604,,1991.165813432822
605,,1995.3369121377625
606,,2028.24624141886
607,,2125.6768441031854
608,,2197.789938983735
609,,2268.5452961941596
610,,2369.3148910023015
611,,2507.2437390848772
612,,2500.9833015230415
613,,2467.5131129169063
614,,2486.723819769414
615,,2555.4696342438206
616,,2691.7289361430303
617,,2792.851667583615
618,,2740.741942473728
619,,2608.369794267815
620,,2536.705535519741
621,,2507.3955379892373
622,,2429.645235467556
623,,2313.5649786206495
624,,2192.988079229195
625,,2098.9115325921875
626,,2039.3394580901183
627,,2008.8387666036124
628,,1990.051466510808
629,,2002.4318619872204
630,,2045.1174946546398
631,,2131.53328277443
632,,2233.575120968297
633,,2303.819046247915
634,,2376.0180344932032
635,,2500.9906588096937
636,,2493.194434169562
637,,2429.527360667173
638,,2439.9795739197243
639,,2503.866113233616
640,,2658.315642921315
641,,2766.596269643048
642,,2723.347905929956
643,,2593.2494430850243
644,,2541.4685461894665
645,,2493.243998697707
646,,2410.094471098165
647,,2302.940529570933
648,,2178.7586833403448
649,,2091.596812997933
650,,2050.331571501421
651,,2001.552922939751
652,,1978.7197334413488
653,,2005.924154782743
654,,2058.896858148585
655,,2178.246465468167
656,,2320.913750069508
657,,2392.0267544077
658,,2455.6846202474335
659,,2610.2188230726306
660,,2593.1269762709735
661,,2504.2902495829844
662,,2509.2150102297824
663,,2603.081574747797
664,,2749.009679772623
665,,2858.87613063846
666,,2835.7145269641433
667,,2675.6387220242364
668,,2614.2114634334202
669,,2545.929556535668
670,,2458.7926158500823
671,,2312.2686351012962
672,,2197.1605396753616
673,,2090.3635480706835
674,,2045.8664701895025
675,,2013.1160785308575
676,,1993.6533577758896
677,,2011.5767519567396
678,,2076.5106891386886
679,,2188.8577511637054
680,,2349.654135082165
681,,2416.6325363199994
682,,2480.5853656280824
683,,2626.605977562941
684,,2597.1749894388126
685,,2502.223437597091
686,,2517.2909804276637
687,,2585.3918524147375
688,,2728.744236977485
689,,2846.160814135296
690,,2788.446621232387
691,,2661.0578630691557
692,,2597.560004868695
693,,2525.181255151405
694,,2428.9800818579806
695,,2292.703374537371
696,,2163.603232720685
697,,2077.943962798811
698,,2020.7840299517786
699,,1992.6007134075257
700,,1966.749422426466
701,,1986.5879157926547
702,,2042.3178437130564
703,,2163.0767393428514
704,,2313.8079636758794
705,,2390.390241804731
706,,2461.1087941552255
707,,2615.0189896935008
708,,2597.328361323978
709,,2517.0950288582167
710,,2535.780799666045
711,,2607.974604886388
712,,2731.0402441532474
713,,2818.6645016203
714,,2789.082288109973
715,,2669.311191557771
716,,2604.317549732834
717,,2522.6261032766597
718,,2440.8847229601956
719,,2309.983711614045
720,,2200.284984339392
721,,2101.355999962473
722,,2058.1902495270388
723,,2012.2971174175814
724,,1985.6988782299206
725,,2000.1245339247725
726,,2055.001050007841
727,,2142.9387095475367
728,,2257.803315101092
729,,2355.354492759623
730,,2420.0307856546515
731,,2558.288850457996
732,,2574.9042156514292
733,,2498.11599729219
734,,2522.3241425915385
735,,2573.2237238963853
736,,2699.265605092976
737,,2800.547716504769
738,,2776.3098640542967
739,,2675.5876417586064
740,,2607.8897777022853
741,,2550.145767388838
742,,2465.6260832420803
743,,2335.326339538507
744,,2214.257672169368
745,,2120.597384974975
746,,2074.6785370377884
747,,2032.712134439161
748,,2007.6211858296488
749,,2017.9332479563705
750,,2060.55180363969
751,,2124.869618008864
752,,2216.2377283897918
753,,2293.654373754422
754,,2383.641456355136
755,,2526.770419519245
756,,2547.3108791594395
757,,2491.39120015922
758,,2486.2548359862726
759,,2556.4467911697966
760,,2683.2060151333626
761,,2784.3036049101097
762,,2748.2713664039825
763,,2651.459634808154
764,,2591.7338253626012
765,,2531.100200521374
766,,2465.27194643766
767,,2355.9710599583914
768,,2243.941876136253
769,,2150.0522180791877
770,,2095.199061135111
771,,2052.6692970110307
772,,2040.0516480359815
773,,2036.7606958751237
774,,2071.447415363801
775,,2146.7312465442405
776,,2241.7504117347326
777,,2313.3834341837482
778,,2389.9484208639387
779,,2533.2689774309915
780,,2533.1333121099983
781,,2500.5761496114756
782,,2500.0748203399266
783,,2540.386459446873
784,,2672.8079777503376
785,,2804.212486837085
786,,2757.967537564181
787,,2663.3445140192234
788,,2582.2856235783825
789,,2534.6023696227385
790,,2455.9303322144447
791,,2335.2154956054574
792,,2231.291791376497
793,,2145.086480229081
794,,2085.9510416519265
795,,2047.0465548985374
796,,2031.8047336644047
797,,2040.1708793520922
798,,2084.806218805381
799,,2167.126787053408
800,,2277.3175990631485
801,,2372.33656181679
802,,2454.418011801204
803,,2586.3935939374883
804,,2581.8083309145263
805,,2488.99655002937
806,,2494.46148218168
807,,2551.322581231586
808,,2682.8265062176897
809,,2825.0522784005134
810,,2792.360381238151
811,,2685.302871844329
812,,2624.117633235892
813,,2561.95258058429
814,,2475.1416733356396
815,,2332.35498839268
816,,2210.4078016648473
817,,2126.827427602513
818,,2073.430822128777
819,,2041.0035519248866
820,,2020.7662244541668
821,,2046.6078524316226
822,,2113.8599598384276
823,,2229.4301201011244
824,,2377.016425001808
825,,2464.3404751098274
826,,2534.587513421666
827,,2690.2418633084794
828,,2659.5766338124704
829,,2559.3321839635173
830,,2564.042229265065
831,,2632.8183309153933
832,,2761.9561157766243
833,,2901.3070654412904
834,,2878.226385713745
835,,2745.3882783573667
836,,2664.8271201876737
837,,2588.028274130484
